Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	0.525989999	0.595560583	0.000	22050.000	no overlap
1	Spectrogram 1	1	0.525989999	0.595560583	0.000	22050.000	no overlap
2	Waveform 1	1	0.618277508	0.682642130	0.000	22050.000	no overlap
2	Spectrogram 1	1	0.618277508	0.682642130	0.000	22050.000	no overlap
3	Waveform 1	1	0.707252132	0.773036562	0.000	22050.000	no overlap
3	Spectrogram 1	1	0.707252132	0.773036562	0.000	22050.000	no overlap
4	Waveform 1	1	0.797173295	0.863430994	0.000	22050.000	no overlap
4	Spectrogram 1	1	0.797173295	0.863430994	0.000	22050.000	no overlap
5	Waveform 1	1	0.888514265	0.954298695	0.000	22050.000	no overlap
5	Spectrogram 1	1	0.888514265	0.954298695	0.000	22050.000	no overlap
6	Waveform 1	1	0.977488890	1.043746588	0.000	22050.000	no overlap
6	Spectrogram 1	1	0.977488890	1.043746588	0.000	22050.000	no overlap
7	Waveform 1	1	1.073028347	1.137866238	0.000	22050.000	no overlap
7	Spectrogram 1	1	1.073028347	1.137866238	0.000	22050.000	no overlap
8	Waveform 1	1	1.161056432	1.229680478	0.000	22050.000	no overlap
8	Spectrogram 1	1	1.161056432	1.229680478	0.000	22050.000	no overlap
9	Waveform 1	1	1.258549904	1.321967987	0.000	22050.000	no overlap
9	Spectrogram 1	1	1.258549904	1.321967987	0.000	22050.000	no overlap
10	Waveform 1	1	1.345631451	1.418041650	0.000	22050.000	no overlap
10	Spectrogram 1	1	1.345631451	1.418041650	0.000	22050.000	no overlap
11	Waveform 1	1	1.442178383	1.509382621	0.000	22050.000	no overlap
11	Spectrogram 1	1	1.442178383	1.509382621	0.000	22050.000	no overlap
12	Waveform 1	1	1.535375854	1.602106822	0.000	22050.000	no overlap
12	Spectrogram 1	1	1.535375854	1.602106822	0.000	22050.000	no overlap
13	Waveform 1	1	1.621037593	1.700073563	0.000	22050.000	no overlap
13	Spectrogram 1	1	1.621037593	1.700073563	0.000	22050.000	no overlap
14	Waveform 1	1	1.729416258	1.792834341	0.000	22050.000	no overlap
14	Spectrogram 1	1	1.729416258	1.792834341	0.000	22050.000	no overlap
15	Waveform 1	1	1.811765112	1.949486472	0.000	22050.000	no overlap
15	Spectrogram 1	1	1.811765112	1.949486472	0.000	22050.000	no overlap
16	Waveform 1	1	1.962301061	2.135990886	0.000	22050.000	no overlap
16	Spectrogram 1	1	1.962301061	2.135990886	0.000	22050.000	no overlap
17	Waveform 1	1	2.166407273	2.228878817	0.000	22050.000	no overlap
