Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	0.371012779	0.415286381	0.000	22050.000	no overlap
1	Spectrogram 1	1	0.371012779	0.415286381	0.000	22050.000	no overlap
2	Waveform 1	1	1.118891167	1.171485522	0.000	22050.000	overlapping sound
2	Spectrogram 1	1	1.118891167	1.171485522	0.000	22050.000	overlapping sound
3	Waveform 1	1	3.609629894	3.659093633	0.000	22050.000	no overlap
3	Spectrogram 1	1	3.609629894	3.659093633	0.000	22050.000	no overlap
4	Waveform 1	1	5.111501419	5.164721897	0.000	22050.000	overlapping sound
4	Spectrogram 1	1	5.111501419	5.164721897	0.000	22050.000	overlapping sound
5	Waveform 1	1	6.856823208	6.909417563	0.000	22050.000	overlapping sound
5	Spectrogram 1	1	6.856823208	6.909417563	0.000	22050.000	overlapping sound
6	Waveform 1	1	8.329960143	8.385685115	0.000	22050.000	overlapping sound
6	Spectrogram 1	1	8.329960143	8.385685115	0.000	22050.000	overlapping sound
7	Waveform 1	1	9.204723294	9.257317649	0.000	22050.000	overlapping sound
7	Spectrogram 1	1	9.204723294	9.257317649	0.000	22050.000	overlapping sound
8	Waveform 1	1	9.861908397	9.918259492	0.000	22050.000	overlapping sound
8	Spectrogram 1	1	9.861908397	9.918259492	0.000	22050.000	overlapping sound
9	Waveform 1	1	12.336397751	12.412784790	0.000	22050.000	overlapping sound
9	Spectrogram 1	1	12.336397751	12.412784790	0.000	22050.000	overlapping sound
10	Waveform 1	1	13.782745128	13.857879921	0.000	22050.000	no overlap
10	Spectrogram 1	1	13.782745128	13.857879921	0.000	22050.000	no overlap
11	Waveform 1	1	15.318740242	15.396379529	0.000	22050.000	no overlap
11	Spectrogram 1	1	15.318740242	15.396379529	0.000	22050.000	no overlap
12	Waveform 1	1	15.715076276	15.790837192	0.000	22050.000	no overlap
12	Spectrogram 1	1	15.715076276	15.790837192	0.000	22050.000	no overlap
13	Waveform 1	1	15.929853750	16.007179974	0.000	22050.000	no overlap
13	Spectrogram 1	1	15.929853750	16.007179974	0.000	22050.000	no overlap
14	Waveform 1	1	16.113483293	16.190496456	0.000	22050.000	no overlap
14	Spectrogram 1	1	16.113483293	16.190496456	0.000	22050.000	no overlap
15	Waveform 1	1	16.272734779	16.349434880	0.000	22050.000	no overlap
15	Spectrogram 1	1	16.272734779	16.349434880	0.000	22050.000	no overlap
16	Waveform 1	1	16.380976268	16.546585874	0.000	22050.000	no overlap
16	Spectrogram 1	1	16.380976268	16.546585874	0.000	22050.000	no overlap
17	Waveform 1	1	16.591002214	16.694938677	0.000	22050.000	no overlap
17	Spectrogram 1	1	16.591002214	16.694938677	0.000	22050.000	no overlap
18	Waveform 1	1	16.724366471	16.847086633	0.000	22050.000	no overlap
18	Spectrogram 1	1	16.724366471	16.847086633	0.000	22050.000	no overlap
19	Waveform 1	1	16.889368690	17.045273386	0.000	22050.000	no overlap
19	Spectrogram 1	1	16.889368690	17.045273386	0.000	22050.000	no overlap
20	Waveform 1	1	17.132716494	17.301769778	0.000	22050.000	no overlap
20	Spectrogram 1	1	17.132716494	17.301769778	0.000	22050.000	no overlap
21	Waveform 1	1	17.350960892	17.456775726	0.000	22050.000	no overlap
21	Spectrogram 1	1	17.350960892	17.456775726	0.000	22050.000	no overlap
22	Waveform 1	1	17.484638212	17.609236743	0.000	22050.000	no overlap
22	Spectrogram 1	1	17.484638212	17.609236743	0.000	22050.000	no overlap
23	Waveform 1	1	17.652516460	17.811864833	0.000	22050.000	no overlap
23	Spectrogram 1	1	17.652516460	17.811864833	0.000	22050.000	no overlap
24	Waveform 1	1	18.850899768	18.924469252	0.000	22050.000	no overlap
24	Spectrogram 1	1	18.850899768	18.924469252	0.000	22050.000	no overlap
25	Waveform 1	1	18.961410526	19.125141762	0.000	22050.000	no overlap
25	Spectrogram 1	1	18.961410526	19.125141762	0.000	22050.000	no overlap
26	Waveform 1	1	19.170614236	19.277055193	0.000	22050.000	no overlap
26	Spectrogram 1	1	19.170614236	19.277055193	0.000	22050.000	no overlap
27	Waveform 1	1	19.305230740	19.428890087	0.000	22050.000	no overlap
27	Spectrogram 1	1	19.305230740	19.428890087	0.000	22050.000	no overlap
28	Waveform 1	1	19.471231944	19.628388886	0.000	22050.000	no overlap
28	Spectrogram 1	1	19.471231944	19.628388886	0.000	22050.000	no overlap
29	Waveform 1	1	19.706048234	19.875727641	0.000	22050.000	no overlap
29	Spectrogram 1	1	19.706048234	19.875727641	0.000	22050.000	no overlap
30	Waveform 1	1	19.923293647	20.030673789	0.000	22050.000	no overlap
30	Spectrogram 1	1	19.923293647	20.030673789	0.000	22050.000	no overlap
31	Waveform 1	1	20.058849336	20.182508683	0.000	22050.000	no overlap
31	Spectrogram 1	1	20.058849336	20.182508683	0.000	22050.000	no overlap
32	Waveform 1	1	20.227649045	20.386371296	0.000	22050.000	no overlap
32	Spectrogram 1	1	20.227649045	20.386371296	0.000	22050.000	no overlap
33	Waveform 1	1	21.283001598	21.357510267	0.000	22050.000	no overlap
33	Spectrogram 1	1	21.283001598	21.357510267	0.000	22050.000	no overlap
34	Waveform 1	1	21.397151833	21.560570007	0.000	22050.000	no overlap
34	Spectrogram 1	1	21.397151833	21.560570007	0.000	22050.000	no overlap
35	Waveform 1	1	21.606569379	21.710818904	0.000	22050.000	no overlap
35	Spectrogram 1	1	21.606569379	21.710818904	0.000	22050.000	no overlap
