Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	3.120899400	3.263863445	0.000	22050.000	no overlap
1	Spectrogram 1	1	3.120899400	3.263863445	0.000	22050.000	no overlap
2	Waveform 1	1	3.300904129	3.445817683	0.000	22050.000	no overlap
2	Spectrogram 1	1	3.300904129	3.445817683	0.000	22050.000	no overlap
3	Waveform 1	1	5.242796899	5.284386439	0.000	22050.000	no overlap
3	Spectrogram 1	1	5.242796899	5.284386439	0.000	22050.000	no overlap
4	Waveform 1	1	5.649584236	5.693773123	0.000	22050.000	no overlap
4	Spectrogram 1	1	5.649584236	5.693773123	0.000	22050.000	no overlap
5	Waveform 1	1	5.900421151	5.941360855	0.000	22050.000	no overlap
5	Spectrogram 1	1	5.900421151	5.941360855	0.000	22050.000	no overlap
6	Waveform 1	1	6.068986420	6.109926124	0.000	22050.000	no overlap
6	Spectrogram 1	1	6.068986420	6.109926124	0.000	22050.000	no overlap
7	Waveform 1	1	6.320277236	6.347570372	0.000	22050.000	no overlap
7	Spectrogram 1	1	6.320277236	6.347570372	0.000	22050.000	no overlap
8	Waveform 1	1	6.383961219	6.424900923	0.000	22050.000	no overlap
8	Spectrogram 1	1	6.383961219	6.424900923	0.000	22050.000	no overlap
9	Waveform 1	1	6.526925264	6.614653200	0.000	22050.000	no overlap
9	Spectrogram 1	1	6.526925264	6.614653200	0.000	22050.000	no overlap
10	Waveform 1	1	6.652944983	6.725076842	0.000	22050.000	no overlap
10	Spectrogram 1	1	6.652944983	6.725076842	0.000	22050.000	no overlap
11	Waveform 1	1	6.747171285	6.892084839	0.000	22050.000	no overlap
11	Spectrogram 1	1	6.747171285	6.892084839	0.000	22050.000	no overlap
12	Waveform 1	1	6.925144135	7.000525177	0.000	22050.000	no overlap
12	Spectrogram 1	1	6.925144135	7.000525177	0.000	22050.000	no overlap
13	Waveform 1	1	7.020670110	7.103849191	0.000	22050.000	no overlap
13	Spectrogram 1	1	7.020670110	7.103849191	0.000	22050.000	no overlap
14	Waveform 1	1	7.139590202	7.211072224	0.000	22050.000	no overlap
14	Spectrogram 1	1	7.139590202	7.211072224	0.000	22050.000	no overlap
15	Waveform 1	1	7.244213889	7.296850651	0.000	22050.000	no overlap
15	Spectrogram 1	1	7.244213889	7.296850651	0.000	22050.000	no overlap
16	Waveform 1	1	7.335751818	7.404634494	0.000	22050.000	no overlap
16	Spectrogram 1	1	7.335751818	7.404634494	0.000	22050.000	no overlap
17	Waveform 1	1	7.430627957	7.576191347	0.000	22050.000	no overlap
17	Spectrogram 1	1	7.430627957	7.576191347	0.000	22050.000	no overlap
18	Waveform 1	1	7.610632685	7.686013727	0.000	22050.000	no overlap
18	Spectrogram 1	1	7.610632685	7.686013727	0.000	22050.000	no overlap
19	Waveform 1	1	7.709407844	7.793236761	0.000	22050.000	no overlap
19	Spectrogram 1	1	7.709407844	7.793236761	0.000	22050.000	no overlap
20	Waveform 1	1	7.826522457	7.898004480	0.000	22050.000	no overlap
20	Spectrogram 1	1	7.826522457	7.898004480	0.000	22050.000	no overlap
21	Waveform 1	1	7.932445818	7.988331762	0.000	22050.000	no overlap
21	Spectrogram 1	1	7.932445818	7.988331762	0.000	22050.000	no overlap
22	Waveform 1	1	8.024722610	8.094255123	0.000	22050.000	no overlap
22	Spectrogram 1	1	8.024722610	8.094255123	0.000	22050.000	no overlap
23	Waveform 1	1	8.118670241	8.270082161	0.000	22050.000	no overlap
23	Spectrogram 1	1	8.118670241	8.270082161	0.000	22050.000	no overlap
24	Waveform 1	1	8.300624480	8.377955031	0.000	22050.000	no overlap
24	Spectrogram 1	1	8.300624480	8.377955031	0.000	22050.000	no overlap
25	Waveform 1	1	8.400049474	8.484528228	0.000	22050.000	no overlap
25	Spectrogram 1	1	8.400049474	8.484528228	0.000	22050.000	no overlap
26	Waveform 1	1	8.517669893	8.592401098	0.000	22050.000	no overlap
26	Spectrogram 1	1	8.517669893	8.592401098	0.000	22050.000	no overlap
27	Waveform 1	1	8.624538544	8.681724162	0.000	22050.000	no overlap
27	Spectrogram 1	1	8.624538544	8.681724162	0.000	22050.000	no overlap
28	Waveform 1	1	8.717465173	8.792196378	0.000	22050.000	no overlap
28	Spectrogram 1	1	8.717465173	8.792196378	0.000	22050.000	no overlap
29	Waveform 1	1	8.811691475	8.962453558	0.000	22050.000	no overlap
29	Spectrogram 1	1	8.811691475	8.962453558	0.000	22050.000	no overlap
30	Waveform 1	1	8.995506196	9.074136421	0.000	22050.000	no overlap
30	Spectrogram 1	1	8.995506196	9.074136421	0.000	22050.000	no overlap
31	Waveform 1	1	9.096880701	9.183308964	0.000	22050.000	no overlap
31	Spectrogram 1	1	9.096880701	9.183308964	0.000	22050.000	no overlap
32	Waveform 1	1	9.217100465	9.291181834	0.000	22050.000	no overlap
32	Spectrogram 1	1	9.217100465	9.291181834	0.000	22050.000	no overlap
33	Waveform 1	1	9.337320230	9.361364183	0.000	22050.000	no overlap
33	Spectrogram 1	1	9.337320230	9.361364183	0.000	22050.000	no overlap
