Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	0.368185587	0.436077906	0.000	22050.000	no overlap
1	Spectrogram 1	1	0.368185587	0.436077906	0.000	22050.000	no overlap
2	Waveform 1	1	0.512516112	0.582307516	0.000	22050.000	no overlap
2	Spectrogram 1	1	0.512516112	0.582307516	0.000	22050.000	no overlap
3	Waveform 1	1	0.664901413	0.737541446	0.000	22050.000	no overlap
3	Spectrogram 1	1	0.664901413	0.737541446	0.000	22050.000	no overlap
4	Waveform 1	1	0.812555337	0.945016575	0.000	22050.000	no overlap
4	Spectrogram 1	1	0.812555337	0.945016575	0.000	22050.000	no overlap
5	Waveform 1	1	0.956598270	1.237730649	0.000	22050.000	no overlap
5	Spectrogram 1	1	0.956598270	1.237730649	0.000	22050.000	no overlap
6	Waveform 1	1	1.314981305	1.454687750	0.000	22050.000	no overlap
6	Spectrogram 1	1	1.314981305	1.454687750	0.000	22050.000	no overlap
7	Waveform 1	1	1.467471549	1.741701349	0.000	22050.000	no overlap
7	Spectrogram 1	1	1.467471549	1.741701349	0.000	22050.000	no overlap
8	Waveform 1	1	1.992744001	2.126022506	0.000	22050.000	no overlap
8	Spectrogram 1	1	1.992744001	2.126022506	0.000	22050.000	no overlap
9	Waveform 1	1	2.141430460	2.422732551	0.000	22050.000	no overlap
9	Spectrogram 1	1	2.141430460	2.422732551	0.000	22050.000	no overlap
10	Waveform 1	1	2.500376960	2.642048318	0.000	22050.000	no overlap
10	Spectrogram 1	1	2.500376960	2.642048318	0.000	22050.000	no overlap
11	Waveform 1	1	2.650816442	2.932830689	159.783	22050.000	no overlap
11	Spectrogram 1	1	2.650816442	2.932830689	159.783	22050.000	no overlap
12	Waveform 1	1	3.180775870	3.315732947	0.000	22050.000	no overlap
12	Spectrogram 1	1	3.180775870	3.315732947	0.000	22050.000	no overlap
13	Waveform 1	1	3.324172220	3.614989408	0.000	22050.000	no overlap
13	Spectrogram 1	1	3.324172220	3.614989408	0.000	22050.000	no overlap
14	Waveform 1	1	3.913210470	4.045481833	0.000	22050.000	no overlap
14	Spectrogram 1	1	3.913210470	4.045481833	0.000	22050.000	no overlap
15	Waveform 1	1	4.054344073	4.345723284	0.000	22050.000	no overlap
15	Spectrogram 1	1	4.054344073	4.345723284	0.000	22050.000	no overlap
16	Waveform 1	1	4.429379199	4.571386272	0.000	22050.000	no overlap
16	Spectrogram 1	1	4.429379199	4.571386272	0.000	22050.000	no overlap
17	Waveform 1	1	4.585216637	4.870791671	0.000	22050.000	no overlap
17	Spectrogram 1	1	4.585216637	4.870791671	0.000	22050.000	no overlap
18	Waveform 1	1	5.501963375	5.574813339	0.000	22050.000	no overlap
18	Spectrogram 1	1	5.501963375	5.574813339	0.000	22050.000	no overlap
19	Waveform 1	1	5.645313304	5.782284665	0.000	22050.000	no overlap
19	Spectrogram 1	1	5.645313304	5.782284665	0.000	22050.000	no overlap
20	Waveform 1	1	5.789304598	6.080199587	0.000	22050.000	no overlap
20	Spectrogram 1	1	5.789304598	6.080199587	0.000	22050.000	no overlap
21	Waveform 1	1	6.157894640	6.300908855	0.000	22050.000	no overlap
21	Spectrogram 1	1	6.157894640	6.300908855	0.000	22050.000	no overlap
22	Waveform 1	1	6.312432779	6.594377873	0.000	22050.000	no overlap
22	Spectrogram 1	1	6.312432779	6.594377873	0.000	22050.000	no overlap
23	Waveform 1	1	7.114564152	7.252542655	0.000	22050.000	no overlap
23	Spectrogram 1	1	7.114564152	7.252542655	0.000	22050.000	no overlap
24	Waveform 1	1	7.259950502	7.552527293	0.000	22050.000	no overlap
24	Spectrogram 1	1	7.259950502	7.552527293	0.000	22050.000	no overlap
25	Waveform 1	1	8.048823209	8.188144569	0.000	22050.000	no overlap
25	Spectrogram 1	1	8.048823209	8.188144569	0.000	22050.000	no overlap
26	Waveform 1	1	8.195758222	8.490276989	0.000	22050.000	no overlap
26	Spectrogram 1	1	8.195758222	8.490276989	0.000	22050.000	no overlap
27	Waveform 1	1	8.575069066	8.721440422	0.000	22050.000	no overlap
27	Spectrogram 1	1	8.575069066	8.721440422	0.000	22050.000	no overlap
28	Waveform 1	1	8.727483277	9.011339965	0.000	22050.000	no overlap
28	Spectrogram 1	1	8.727483277	9.011339965	0.000	22050.000	no overlap
