Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	5.527543701	5.608452331	0.000	22050.000	no overlap
1	Spectrogram 1	1	5.527543701	5.608452331	0.000	22050.000	no overlap
2	Waveform 1	1	6.623049638	6.697920311	0.000	22050.000	no overlap
2	Spectrogram 1	1	6.623049638	6.697920311	0.000	22050.000	no overlap
3	Waveform 1	1	6.767960618	6.841623700	0.000	22050.000	no overlap
3	Spectrogram 1	1	6.767960618	6.841623700	0.000	22050.000	no overlap
4	Waveform 1	1	6.886304585	6.961175258	0.000	22050.000	no overlap
4	Spectrogram 1	1	6.886304585	6.961175258	0.000	22050.000	no overlap
5	Waveform 1	1	6.988346067	7.060197761	0.000	22050.000	no overlap
5	Spectrogram 1	1	6.988346067	7.060197761	0.000	22050.000	no overlap
6	Waveform 1	1	7.085796190	7.315238574	0.000	22050.000	no overlap
6	Spectrogram 1	1	7.085796190	7.315238574	0.000	22050.000	no overlap
7	Waveform 1	1	7.390109247	7.706498220	0.000	22050.000	no overlap
7	Spectrogram 1	1	7.390109247	7.706498220	0.000	22050.000	no overlap
8	Waveform 1	1	7.781812755	7.862117590	0.000	22050.000	no overlap
8	Spectrogram 1	1	7.781812755	7.862117590	0.000	22050.000	no overlap
9	Waveform 1	1	7.883250441	8.117523192	0.000	22050.000	no overlap
9	Spectrogram 1	1	7.883250441	8.117523192	0.000	22050.000	no overlap
10	Waveform 1	1	8.188301122	8.507709073	0.000	22050.000	no overlap
10	Spectrogram 1	1	8.188301122	8.507709073	0.000	22050.000	no overlap
